System,Architecture,Password,Antivirus,Browsers,3rd Party Applications,Number of Users,Firewall,Security Patch,Peer to Peer Network,Total Security Rating
1.0,0.8,0.0,1.0,0.3,0.05,0.8,0.0,0.0,0.4,0.34678
1.0,0.0,0.0,0.3,0.6,0.0,0.4,0.0,1.0,0.4,0.32326
0.9,0.0,1.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.28814
1.0,0.0,1.0,1.0,0.6,0.0,0.3,0.0,0.1,1.0,0.52659
0.9,1.0,1.0,1.0,1.0,0.0,0.3,0.0,1.0,0.0,0.59993
1.0,0.0,0.0,1.0,0.8,0.05,0.0,0.2,0.0,0.4,0.32682
1.0,1.0,0.0,0.3,1.0,0.0,0.3,0.2,0.1,1.0,0.4099100000000001
0.9,0.0,0.2,1.0,0.6,0.2,0.3,0.0,1.0,0.4,0.44009
0.9,1.0,0.2,1.0,0.3,0.0,0.4,0.0,0.1,1.0,0.4333
0.9,0.0,1.0,1.0,0.8,0.4,0.6,0.2,1.0,0.0,0.61007
0.9,0.8,0.0,1.0,1.0,0.05,0.6,0.2,0.1,1.0,0.4734400000000001
0.9,1.0,1.0,1.0,0.3,0.6,0.2,0.0,1.0,0.0,0.62999
1.0,1.0,1.0,0.3,0.8,0.0,0.0,1.0,1.0,0.4,0.68956
1.0,1.0,0.0,1.0,0.3,1.0,0.05,0.2,0.1,0.4,0.49860000000000004
1.0,0.8,0.2,1.0,0.8,0.2,0.6,0.0,0.1,0.4,0.43683000000000005
1.0,0.0,1.0,1.0,0.0,1.0,0.6,0.2,1.0,0.0,0.64678
0.9,1.0,0.2,0.3,0.0,0.6,1.0,0.2,0.1,0.4,0.41002
1.0,0.8,0.0,1.0,0.0,0.4,0.05,0.0,1.0,1.0,0.50829
1.0,0.0,0.0,1.0,0.3,0.2,1.0,0.2,0.1,0.4,0.35685
0.9,1.0,0.0,0.3,1.0,0.2,0.8,1.0,1.0,0.4,0.57987
0.9,0.8,1.0,1.0,1.0,1.0,0.4,0.0,0.0,1.0,0.72355
1.0,0.0,0.2,1.0,0.8,0.05,0.8,1.0,0.1,0.4,0.50339
0.9,0.8,1.0,1.0,0.3,0.2,0.4,0.0,0.0,0.4,0.50997
1.0,1.0,0.0,0.0,0.8,0.0,0.2,0.0,1.0,0.4,0.36648000000000003
0.9,1.0,0.0,0.0,0.3,0.6,0.2,0.0,0.1,0.0,0.27338
0.9,0.8,0.0,1.0,0.8,0.2,1.0,0.2,1.0,0.4,0.5234500000000001
0.9,0.8,0.2,0.3,0.6,0.6,0.05,0.0,0.1,0.0,0.33845000000000003
1.0,1.0,0.2,0.3,0.6,0.0,0.2,0.0,1.0,0.0,0.37652
0.9,0.0,1.0,0.3,0.8,0.05,0.2,0.0,0.0,1.0,0.45316999999999996
0.9,1.0,0.2,0.3,1.0,0.6,0.05,0.0,0.0,0.4,0.4084600000000001
0.9,0.8,1.0,1.0,0.0,0.0,0.0,0.2,1.0,0.0,0.53643
0.9,1.0,0.2,0.3,0.3,0.2,0.0,1.0,0.0,0.4,0.43979000000000007
1.0,0.0,0.2,1.0,0.8,1.0,0.2,0.2,0.0,1.0,0.55366
0.9,0.8,0.0,0.0,0.6,0.2,0.6,0.0,1.0,0.4,0.36989
0.9,0.0,0.0,1.0,0.8,0.2,0.2,1.0,0.0,0.0,0.41015000000000007
1.0,0.0,0.2,1.0,0.6,0.05,0.4,0.0,1.0,0.0,0.39342
1.0,0.8,1.0,0.0,0.6,0.6,0.2,0.2,0.1,0.4,0.52319
0.9,0.0,0.0,0.0,0.3,0.2,1.0,1.0,0.0,0.4,0.34323000000000004
0.9,0.8,0.0,0.3,0.8,0.0,0.6,0.2,0.0,0.4,0.31333
0.9,0.0,0.2,1.0,0.0,1.0,0.2,0.2,0.0,0.0,0.39032999999999995
0.9,0.8,0.0,0.0,1.0,0.6,1.0,0.2,1.0,1.0,0.54999
0.9,0.8,0.0,0.3,1.0,0.6,0.2,0.0,0.1,0.4,0.37684
0.9,0.8,0.2,0.3,0.3,0.2,0.0,0.0,0.0,0.4,0.29327000000000003
0.9,0.0,0.2,0.0,0.3,0.2,0.05,0.0,1.0,0.0,0.27154
0.9,0.0,0.2,0.3,0.3,0.05,0.05,0.2,0.1,0.4,0.25825
0.9,0.8,0.2,0.0,0.0,1.0,0.2,0.2,1.0,0.4,0.48327
0.9,1.0,1.0,1.0,0.8,1.0,0.6,1.0,1.0,1.0,0.9632900000000001
0.9,1.0,0.0,1.0,0.8,0.6,0.6,0.2,0.0,1.0,0.53689
1.0,0.8,0.0,1.0,0.6,0.6,1.0,1.0,0.1,0.4,0.59017
1.0,1.0,0.2,0.3,0.8,1.0,0.0,0.0,1.0,1.0,0.6167
0.9,0.8,1.0,1.0,0.8,0.05,0.2,1.0,0.1,0.4,0.65984
0.9,1.0,0.2,1.0,0.6,0.2,1.0,0.0,0.0,1.0,0.49011000000000005
0.9,1.0,0.2,0.0,0.3,0.0,0.0,0.2,0.0,1.0,0.3363900000000001
1.0,1.0,0.2,0.0,0.0,0.05,1.0,0.2,1.0,0.0,0.36642
0.9,0.0,0.0,1.0,0.0,0.05,1.0,1.0,1.0,0.0,0.46329000000000004
0.9,1.0,0.2,1.0,0.8,0.0,1.0,0.2,1.0,0.4,0.54335
1.0,0.8,1.0,0.3,1.0,0.0,0.4,1.0,0.1,0.4,0.6130500000000001
0.9,0.8,0.0,0.3,0.0,1.0,1.0,0.2,1.0,1.0,0.56669
1.0,1.0,1.0,1.0,0.0,0.6,1.0,0.2,0.0,0.0,0.5734
0.9,0.0,0.2,0.3,0.0,0.0,0.2,0.0,0.1,0.0,0.16994
1.0,0.8,0.2,1.0,0.8,0.6,0.4,1.0,1.0,0.0,0.6667400000000001
1.0,0.8,0.0,0.3,0.3,0.0,0.0,0.2,0.1,0.4,0.27987
1.0,0.8,0.0,1.0,0.6,0.6,0.6,0.2,0.0,0.0,0.4203
0.9,1.0,0.0,1.0,0.0,0.6,0.2,1.0,0.1,1.0,0.58664
1.0,0.8,0.2,1.0,0.8,0.4,0.8,0.2,0.1,0.4,0.4968700000000001
0.9,1.0,0.0,1.0,0.3,0.05,0.2,0.0,1.0,0.0,0.3900100000000001
0.9,0.0,1.0,0.0,0.6,1.0,0.0,1.0,1.0,0.0,0.66319
1.0,0.8,1.0,0.0,0.6,0.05,0.8,0.2,1.0,0.0,0.5197
1.0,1.0,1.0,0.3,0.6,0.0,0.0,0.2,0.0,0.4,0.46974
0.9,1.0,0.2,1.0,0.3,1.0,1.0,0.2,1.0,1.0,0.7034900000000001
0.9,1.0,0.0,0.0,0.8,0.2,0.6,1.0,0.1,1.0,0.4997999999999999
0.9,1.0,0.2,1.0,0.3,0.6,1.0,0.2,0.0,0.0,0.45025000000000004
